인보이스 번호,5515253163,
인보이스 날짜,2026-02-28,
마감일,2026-03-30,
결제 ID,4907-3667-0302,
결제 계정 ID,01DA80-8E7EBE-D7F984,
통화,KRW,
환율,"1,430.08",
총 청구 금액,"₩586,249,568",
결제 계정 이름,결제 계정 ID,프로젝트 이름,프로젝트 ID,프로젝트 계층 구조,서비스 설명,서비스 ID,SKU 설명,SKU ID,소비 모델 설명,크레딧 유형,비용 유형,사용량 시작일,사용량 종료일,사용량,사용량 단위,반올림되지 않은 비용(₩),비용(₩)
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43, Gemini 2.5 Flash GA Input Text Caching,A1C1-77CC-6FAE,,RESELLER_MARGIN,사용량,2026-02-26,2026-02-28,,,-1.458524,-1
lg-dmst,0171B4-1575B6-A3A335,dmst-LGECI,dmst-lgeci,sphinfo.co.kr > lg-dmst,Distance Matrix API,E1D8-71A6-53DE,Distance Matrix Advanced,DFAE-763F-CF6E,,RESELLER_MARGIN,사용량,2026-02-26,2026-02-26,,,-205.931521,-206
cupist,01D97D-2A4D9C-74B62C,cupist-gmp-project,cupist-gmp-project,sphinfo.co.kr,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-02-26,2026-02-28,,,-586.904831,-587
hyundai-gs,01B10A-B90345-0D2684,hyundai-gs - project,hyundai-gs-project,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-02-26,2026-02-28,,,-863.711207,-864
11st,012C1F-16F3D7-6B0F99,11st - project,maps-ext-33980215,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-02-26,2026-02-28,,,-1208.474891,-1208
Samsung-Logitech,0157C0-84B18E-442AE8,Samsung-Logitech,samsung-logitech,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-02-26,2026-02-28,,,-1347.821796,-1348
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,Default,,사용량,2026-02-25,2026-02-28,500.605,second,17.181707,17
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,Default,,사용량,2026-02-25,2026-02-28,207.85,gibibyte second,0.743099,1
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services CPU Tier 2  (Request-based billing),085C-A237-027A,Default,,사용량,2026-02-25,2026-02-25,4.457,second,0.214140,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services Memory Tier 2 (Request-based billing),600C-3782-6708,Default,,사용량,2026-02-25,2026-02-25,1.15,gibibyte second,0.005756,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Artifact Registry,149C-F9EC-3994,"Artifact Registry Network Internet Egress Intercontinental (Excl Oceania, Africa and China)",72BD-5309-1C4C,Default,,사용량,2026-02-25,2026-02-26,0,gibibyte,0.000327,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress AsiaPacfic to AsiaPacfic,2CB3-644D-F192,Default,,사용량,2026-02-25,2026-02-25,0,gibibyte,0.000176,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,"Cloud Run Network Internet Data Transfer Out Intercontinental (Excl Oceania, Africa and China)",DBAA-7594-B9FA,Default,,사용량,2026-02-25,2026-02-25,0,gibibyte,0.000077,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Dev,dmpro-dev,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-02-25,2026-02-25,3,count,0.000000,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Dev,dmpro-dev,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Autocomplete (included with Places Details) - Per Session,E9C9-934B-DDB1,Default,,사용량,2026-02-25,2026-02-25,3,sessions,0.000000,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Dev,dmpro-dev,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Places Details,FC5C-DF28-543F,Default,,사용량,2026-02-25,2026-02-25,3,count,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Requests,2DA5-55D3-E679,Default,,사용량,2026-02-25,2026-02-28,48,count,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI Search,74B1-77CF-C302,Vertex AI Search: Search API Request Count - Enterprise,93D6-7280-CF05,Default,,사용량,2026-02-25,2026-02-26,2,count,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,Default,,사용량,2026-02-25,2026-02-28,15.05,minute,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Download APAC,1F8B-71B0-3D1B,Default,,사용량,2026-02-25,2026-02-28,0.007,gibibyte,0.000000,0
hankookn,019AC5-EC076F-EE6577,HankooktireGA4 BigQuery,hankooktirega4-bigquery,sphinfo.co.kr > HankookTire,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-25,,,-0.000001,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,"Cloud Run Network Internet Data Transfer Out Intercontinental (Excl Oceania, Africa and China)",DBAA-7594-B9FA,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-25,,,-0.000010,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress AsiaPacfic to AsiaPacfic,2CB3-644D-F192,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-25,,,-0.000021,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Artifact Registry,149C-F9EC-3994,"Artifact Registry Network Internet Egress Intercontinental (Excl Oceania, Africa and China)",72BD-5309-1C4C,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-26,,,-0.000039,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services Memory Tier 2 (Request-based billing),600C-3782-6708,,SPENDING_BASED_DISCOUNT,사용량,2026-02-25,2026-02-25,,,-0.005756,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services CPU Tier 2  (Request-based billing),085C-A237-027A,,SPENDING_BASED_DISCOUNT,사용량,2026-02-25,2026-02-25,,,-0.214140,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,,SPENDING_BASED_DISCOUNT,사용량,2026-02-25,2026-02-28,,,-0.743099,-1
hyundai-autolink,014334-757ACF-140FE7,autolink-NZ-PREMIUM-IOS,kia-nz-premium-ios,sphinfo.co.kr > hyundai-autolink,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-28,,,-4.290240,-4
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-BASIC-AND,kia-au-basic-and,sphinfo.co.kr > hyundai-autolink,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-28,,,-8.580480,-9
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,,SPENDING_BASED_DISCOUNT,사용량,2026-02-25,2026-02-28,,,-17.181707,-17
lg-dmst,0171B4-1575B6-A3A335,dmst-LGEAI,dmst-lgeai,sphinfo.co.kr > lg-dmst,Distance Matrix API,E1D8-71A6-53DE,Distance Matrix Advanced,DFAE-763F-CF6E,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-25,,,-2325.310084,-2325
hankookn,019AC5-EC076F-EE6577,HankookTireHompage,booming-argon-136523,sphinfo.co.kr > HankookTire,Places API,213C-9623-1402,Autocomplete without Places Details - Per Session,B52C-8320-6DC5,,RESELLER_MARGIN,사용량,2026-02-25,2026-02-27,,,-3226.603696,-3227
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Oncloud-Dev,gmp-oncloud-dev,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,Default,,사용량,2026-02-24,2026-02-24,4,count,16.188505,16
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Places API (New),0776-5E2E-55E3,Places API Place Details Pro,4ED6-464A-2AFC,Default,,사용량,2026-02-24,2026-02-24,7,count,0.000000,0
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-02-24,2026-02-26,24,count,0.000000,0
LG-MCS,01C2A4-CF2EC3-F7B6F0,MCS-Global-PROD,mcs-global-prod,sphinfo.co.kr,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,Default,,사용량,2026-02-24,2026-02-24,62,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-BASIC-IOS,kia-au-basic-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,Default,,사용량,2026-02-24,2026-02-24,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-BASIC-IOS,kia-au-basic-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-02-24,2026-02-24,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-BASIC-IOS,kia-au-basic-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,Default,,사용량,2026-02-24,2026-02-24,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-BASIC-IOS,kia-au-basic-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,Default,,사용량,2026-02-24,2026-02-24,1,count,0.000000,0
lg-dmst,0171B4-1575B6-A3A335,dmst-LGEAI,dmst-lgeai,sphinfo.co.kr > lg-dmst,Directions API,B7D9-FDCB-15D8,Directions Advanced,9407-00C2-CF85,Default,,사용량,2026-02-24,2026-02-24,2,count,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Places API (New),0776-5E2E-55E3,Autocomplete Requests,4EF4-B17C-B31A,Default,,사용량,2026-02-24,2026-02-24,76,count,0.000000,0
