인보이스 번호,5540519493,
인보이스 날짜,2026-03-31,
마감일,2026-04-30,
결제 ID,4907-3667-0302,
결제 계정 ID,01DA80-8E7EBE-D7F984,
통화,KRW,
환율,"1,427.87",
총 청구 금액,"₩609,987,414",
결제 계정 이름,결제 계정 ID,프로젝트 이름,프로젝트 ID,프로젝트 계층 구조,서비스 설명,서비스 ID,SKU 설명,SKU ID,소비 모델 설명,크레딧 유형,비용 유형,사용량 시작일,사용량 종료일,사용량,사용량 단위,반올림되지 않은 비용(₩),비용(₩)
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Services CPU Tier 2  (Request-based billing),085C-A237-027A,,SPENDING_BASED_DISCOUNT,사용량,2026-03-29,2026-03-31,,,-60.050108,-60
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Place Details Enterprise,2D9A-3DE0-3766,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-31,,,-325.554361,-326
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Memorystore,A2B5-E0F1-B0F3,Shared Core Nano Node Seoul,9E8D-2D9A-A8A6,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-31,,,-374.061086,-374
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,,SPENDING_BASED_DISCOUNT,사용량,2026-03-29,2026-03-31,,,-1530.355297,-1530
11st,012C1F-16F3D7-6B0F99,11st - project,maps-ext-33980215,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-28,2026-03-31,,,-1739.145746,-1739
hyundai-autolink,014334-757ACF-140FE7,autolink-SG-BASIC-WEB,kia-sg-basic-web,sphinfo.co.kr > hyundai-autolink,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-27,2026-03-30,3,count,21.418050,21
atomy,01F469-BE29AC-8956DD,atomy-mobile,atommy-mobile,sphinfo.co.kr,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-IN-BASIC-AND,kia-in-basic-and,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-IN-BASIC-AND,kia-in-basic-and,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-IN-BASIC-AND,kia-in-basic-and,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-IN-BASIC-AND,kia-in-basic-and,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-SG-BASIC-WEB,kia-sg-basic-web,sphinfo.co.kr > hyundai-autolink,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-27,2026-03-30,,,-2.570166,-3
samsung-sds-cello,015718-816F9E-1B3AED,samsung-sds-cello - project,map-for-work-int-154619931,sphinfo.co.kr > samsung-sds-cello,Directions API,B7D9-FDCB-15D8,Directions,28A8-3EB4-4595,,RESELLER_MARGIN,사용량,2026-03-27,2026-03-31,,,-1245.673806,-1246
Samsung-Logitech,0157C0-84B18E-442AE8,Samsung-Logitech,samsung-logitech,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-27,2026-03-31,,,-2384.428666,-2384
nhn,01775C-1F3AE8-963929,Naver-GMAP-PlacePoi-Project,naver-gmap-placepoi-project,sphinfo.co.kr > naver,Google Maps Platform - Routes,0161-1616-FF1D,Routes: Compute Route Matrix Essentials,9392-1087-2045,,RESELLER_MARGIN,사용량,2026-03-27,2026-03-31,,,-18794.767212,-18795
nhn,01775C-1F3AE8-963929,Naver-GMAP-PlacePoi-Project,naver-gmap-placepoi-project,sphinfo.co.kr > naver,Places API (New),0776-5E2E-55E3,Places API Place Details Pro,4ED6-464A-2AFC,Default,,사용량,2026-03-26,2026-03-31,341,count,8277.362300,8277
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Translate,1DB1-3CD3-35A3,Neural Translation Model Predictions,D90A-CFB2-7CCD,Default,,사용량,2026-03-26,2026-03-30,"3,181",count,90.841086,91
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Translate,1DB1-3CD3-35A3,Language Detection,53BA-5E1D-4314,Default,,사용량,2026-03-26,2026-03-27,"2,543",byte,72.621465,73
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-GCSP-IOS,kia-au-gcsp-ios,sphinfo.co.kr > hyundai-autolink,Maps API,1934-AA85-20F9,Maps SDK,6DE1-4D9C-5B67,Default,,사용량,2026-03-26,2026-03-26,1,count,0.000000,0
samsung-sds-cello,015718-816F9E-1B3AED,samsung-sds-cello - project,map-for-work-int-154619931,sphinfo.co.kr > samsung-sds-cello,Places API,213C-9623-1402,Places - Text Search,E95A-86C7-7F47,Default,,사용량,2026-03-26,2026-03-26,3,count,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Dataplex,51C6-B3F5-9B38,Dataplex Metadata Storage Oregon,3038-49B1-F591,,RESELLER_MARGIN,사용량,2026-03-26,2026-03-31,,,-0.000038,-0
hyundai-autolink,014334-757ACF-140FE7,autolink-NZ-BASIC-AND,kia-nz-basic-and,sphinfo.co.kr > hyundai-autolink,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-26,2026-03-26,,,-2.570166,-3
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Translate,1DB1-3CD3-35A3,Language Detection,53BA-5E1D-4314,,SPENDING_BASED_DISCOUNT,사용량,2026-03-26,2026-03-27,,,-72.621465,-73
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Translate,1DB1-3CD3-35A3,Neural Translation Model Predictions,D90A-CFB2-7CCD,,SPENDING_BASED_DISCOUNT,사용량,2026-03-26,2026-03-30,,,-90.841086,-91
nhn,01775C-1F3AE8-963929,Naver-GMAP-PlacePoi-Project,naver-gmap-placepoi-project,sphinfo.co.kr > naver,Places API (New),0776-5E2E-55E3,Places API Place Details Pro,4ED6-464A-2AFC,,RESELLER_MARGIN,사용량,2026-03-26,2026-03-31,,,-993.283475,-993
Ground K,0147BD-0C99EC-A7BCCD,GroundK-gmp-project,seismic-mantis-309901,sphinfo.co.kr,Places API,213C-9623-1402,Find Place - ID only,44A2-D839-A3AC,Default,,사용량,2026-03-25,2026-03-25,1,count,0.000000,0
Ground K,0147BD-0C99EC-A7BCCD,GroundK-gmp-project,seismic-mantis-309901,sphinfo.co.kr,Distance Matrix API,E1D8-71A6-53DE,Distance Matrix,C1B6-FF9D-7700,Default,,사용량,2026-03-25,2026-03-25,1,count,0.000000,0
atomy,01F469-BE29AC-8956DD,atomy-mobile,atommy-mobile,sphinfo.co.kr,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-03-25,2026-03-27,2,count,0.000000,0
atomy,01F469-BE29AC-8956DD,atomy-mobile,atommy-mobile,sphinfo.co.kr,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,Default,,사용량,2026-03-25,2026-03-27,2,count,0.000000,0
atomy,01F469-BE29AC-8956DD,atomy-mobile,atommy-mobile,sphinfo.co.kr,Places API,213C-9623-1402,Places - Text Search,E95A-86C7-7F47,Default,,사용량,2026-03-25,2026-03-25,1,count,0.000000,0
atomy,01F469-BE29AC-8956DD,atomy-mobile,atommy-mobile,sphinfo.co.kr,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,Default,,사용량,2026-03-25,2026-03-27,2,count,0.000000,0
atomy,01F469-BE29AC-8956DD,atomy-mobile,atommy-mobile,sphinfo.co.kr,Distance Matrix API,E1D8-71A6-53DE,Distance Matrix,C1B6-FF9D-7700,Default,,사용량,2026-03-25,2026-03-25,1,count,0.000000,0
nhn,01775C-1F3AE8-963929,naver - project,decoded-pivot-795,sphinfo.co.kr > naver,Places API,213C-9623-1402,Query Autocomplete - Per Request,C4B1-8805-63EF,Default,,사용량,2026-03-25,2026-03-25,11,count,0.000000,0
pantos,01EF78-ADF325-25E5D9,pantos-LGEKR-YMS,pantos-lgekr-yms,sphinfo.co.kr > pantos,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,Default,,사용량,2026-03-25,2026-03-26,13,count,0.000000,0
nhn,01775C-1F3AE8-963929,Travel AI Agent,line-travel-ai-agent,sphinfo.co.kr > naver,Places API (New),0776-5E2E-55E3,Places API Place Details Pro,4ED6-464A-2AFC,,RESELLER_MARGIN,사용량,2026-03-25,2026-03-31,,,-133.991320,-134
verygoodtour,01AE07-5591F9-530428,verygoodtour - project,map-for-work-ext-01553031,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-25,2026-03-31,,,-2259.690106,-2260
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Seoul to London,2ED6-3BB5-FADE,Default,,사용량,2026-03-24,2026-03-30,0,gibibyte,0.001752,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Seoul to Americas,2B78-6178-F582,Default,,사용량,2026-03-24,2026-03-31,0,gibibyte,0.000665,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Seoul to EMEA,98AE-34C5-8D20,Default,,사용량,2026-03-24,2026-03-28,0,gibibyte,0.000202,0
pittasoft,01A62D-1B5E62-3F4679,pittasoft - project,map-for-work-asset-81602363,sphinfo.co.kr > pittasoft,Street View Static API,9208-3D32-4342,Static Street View,9BD0-A2EE-44C3,Default,,사용량,2026-03-24,2026-03-24,1,count,0.000000,0
